"o","text","annotation","term","annotation2","term2"
"https://www.ncbi.nlm.nih.gov/pubmed/32242213a2","Objectives:                    To investigate the association between dietary fiber density (grams of fiber consumed per 100 kcal) with the gut-muscle axis in older adult men.","https://www.ncbi.nlm.nih.gov/pubmed/32242213a2b3","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/32242213a2b11","men"
"https://www.ncbi.nlm.nih.gov/pubmed/32925180a8","Dietary fibers alter the gut microbiota and produce metabolites such as short-chain fatty acids that may explain fiber's role in obesity prevention and treatment.","https://www.ncbi.nlm.nih.gov/pubmed/32925180a8b1","Dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/32925180a8b7","obesity"
"https://www.ncbi.nlm.nih.gov/pubmed/32925180a2","Purpose of review:                    Dietary fibers decrease risk of cardiovascular disease and obesity, but the most important mechanisms for fiber's protective properties are debated.","https://www.ncbi.nlm.nih.gov/pubmed/32925180a2b3","Dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/32925180a2b7","obesity"
"https://www.ncbi.nlm.nih.gov/pubmed/32925180a2","Purpose of review:                    Dietary fibers decrease risk of cardiovascular disease and obesity, but the most important mechanisms for fiber's protective properties are debated.","https://www.ncbi.nlm.nih.gov/pubmed/32925180a2b3","Dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/32925180a2b6","cardiovascular disease"
"https://www.ncbi.nlm.nih.gov/pubmed/32150943a2","Current detection methods for contamination of aflatoxin and fumonisin used in the corn industry are based on bulk level.","https://www.ncbi.nlm.nih.gov/pubmed/32150943a2b6","bulk","https://www.ncbi.nlm.nih.gov/pubmed/32150943a2b4","corn"
"https://www.ncbi.nlm.nih.gov/pubmed/32090257a8","Conclusion:                    Risk of ischaemic stroke was inversely associated with consumption of fruit and vegetables, dietary fibre, and dairy foods, while risk of haemorrhagic stroke was positively associated with egg consumption.","https://www.ncbi.nlm.nih.gov/pubmed/32090257a8b7","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/32090257a8b10","haemorrhagic stroke"
"https://www.ncbi.nlm.nih.gov/pubmed/32090257a8","Conclusion:                    Risk of ischaemic stroke was inversely associated with consumption of fruit and vegetables, dietary fibre, and dairy foods, while risk of haemorrhagic stroke was positively associated with egg consumption.","https://www.ncbi.nlm.nih.gov/pubmed/32090257a8b7","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/32090257a8b3","ischaemic stroke"
"https://www.ncbi.nlm.nih.gov/pubmed/31569808a3","The aim of this study was to determine whether pretreatment intake of dietary fiber or whole grains predicted recurrence and survival outcomes in newly diagnosed head and neck cancer (HNC) patients.","https://www.ncbi.nlm.nih.gov/pubmed/31569808a3b5","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/31569808a3b11","head and neck cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/32925180t1","Dietary fibers reduce obesity-related disorders: mechanisms of action","https://www.ncbi.nlm.nih.gov/pubmed/32925180t1b1","Dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/32925180t1b2","obesity"
"https://www.ncbi.nlm.nih.gov/pubmed/32925180t1","Dietary fibers reduce obesity-related disorders: mechanisms of action","https://www.ncbi.nlm.nih.gov/pubmed/32925180t1b1","Dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/32925180t1b3","disorders"
